"type","fn","arg","time",
"encode","perf_test.core$encode_data_json@5c645b43","10b","0.635538 msecs",
"encode","perf_test.core$encode_data_json@5c645b43","100b","1.499035 msecs",
"encode","perf_test.core$encode_data_json@5c645b43","1k","1.203868 msecs",
"encode","perf_test.core$encode_data_json@5c645b43","10k","3.964953 msecs",
"encode","perf_test.core$encode_data_json@5c645b43","100k","11.694029 msecs",
"encode","perf_test.core$encode_cheshire@29c5ee1d","10b","2.207266 msecs",
"encode","perf_test.core$encode_cheshire@29c5ee1d","100b","0.239347 msecs",
"encode","perf_test.core$encode_cheshire@29c5ee1d","1k","0.77214 msecs",
"encode","perf_test.core$encode_cheshire@29c5ee1d","10k","1.744983 msecs",
"encode","perf_test.core$encode_cheshire@29c5ee1d","100k","11.886282 msecs",
"encode","perf_test.core$encode_jsonista@48b22fd4","10b","25.873411 msecs",
"encode","perf_test.core$encode_jsonista@48b22fd4","100b","4.197547 msecs",
"encode","perf_test.core$encode_jsonista@48b22fd4","1k","1.514368 msecs",
"encode","perf_test.core$encode_jsonista@48b22fd4","10k","0.770578 msecs",
"encode","perf_test.core$encode_jsonista@48b22fd4","100k","3.573715 msecs",
"encode","perf_test.core$fn__950$encode_jsonista_map__951@de18f63","10b","1.001606 msecs",
"encode","perf_test.core$fn__950$encode_jsonista_map__951@de18f63","100b","1.169623 msecs",
"encode","perf_test.core$fn__950$encode_jsonista_map__951@de18f63","1k","1.033761 msecs",
"encode","perf_test.core$fn__950$encode_jsonista_map__951@de18f63","10k","0.195359 msecs",
"encode","perf_test.core$fn__950$encode_jsonista_map__951@de18f63","100k","1.529719 msecs",
"encode","perf_test.core$fn__944$encode_jackson__945@108bdbd8","10b","0.777927 msecs",
"encode","perf_test.core$fn__944$encode_jackson__945@108bdbd8","100b","0.888085 msecs",
"encode","perf_test.core$fn__944$encode_jackson__945@108bdbd8","1k","0.797356 msecs",
"encode","perf_test.core$fn__944$encode_jackson__945@108bdbd8","10k","0.17138 msecs",
"encode","perf_test.core$fn__944$encode_jackson__945@108bdbd8","100k","1.283232 msecs",
"encode","perf_test.core$fn__938$encode_jsonista_fastk__939@6345e7b9","10b","0.800556 msecs",
"encode","perf_test.core$fn__938$encode_jsonista_fastk__939@6345e7b9","100b","0.859923 msecs",
"encode","perf_test.core$fn__938$encode_jsonista_fastk__939@6345e7b9","1k","0.813047 msecs",
"encode","perf_test.core$fn__938$encode_jsonista_fastk__939@6345e7b9","10k","0.152143 msecs",
"encode","perf_test.core$fn__938$encode_jsonista_fastk__939@6345e7b9","100k","1.06452 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@4f8b4bd0","10b","0.670901 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@4f8b4bd0","100b","0.787799 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@4f8b4bd0","1k","0.730582 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@4f8b4bd0","10k","0.142298 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@4f8b4bd0","100k","1.033249 msecs",
"decode","perf_test.core$decode_data_json@4e904fd5","10b","1.118112 msecs",
"decode","perf_test.core$decode_data_json@4e904fd5","100b","0.128058 msecs",
"decode","perf_test.core$decode_data_json@4e904fd5","1k","0.346399 msecs",
"decode","perf_test.core$decode_data_json@4e904fd5","10k","2.827505 msecs",
"decode","perf_test.core$decode_data_json@4e904fd5","100k","10.35833 msecs",
"decode","perf_test.core$decode_cheshire@15dd5ac2","10b","0.095972 msecs",
"decode","perf_test.core$decode_cheshire@15dd5ac2","100b","0.120303 msecs",
"decode","perf_test.core$decode_cheshire@15dd5ac2","1k","0.073619 msecs",
"decode","perf_test.core$decode_cheshire@15dd5ac2","10k","0.54042 msecs",
"decode","perf_test.core$decode_cheshire@15dd5ac2","100k","4.495866 msecs",
"decode","perf_test.core$decode_jsonista@4d48bd85","10b","5.129095 msecs",
"decode","perf_test.core$decode_jsonista@4d48bd85","100b","0.1765 msecs",
"decode","perf_test.core$decode_jsonista@4d48bd85","1k","0.181629 msecs",
"decode","perf_test.core$decode_jsonista@4d48bd85","10k","0.635159 msecs",
"decode","perf_test.core$decode_jsonista@4d48bd85","100k","4.026639 msecs",
"decode","perf_test.core$fn__950$decode_jsonista_map__953@4e92466a","10b","0.285825 msecs",
"decode","perf_test.core$fn__950$decode_jsonista_map__953@4e92466a","100b","0.084656 msecs",
"decode","perf_test.core$fn__950$decode_jsonista_map__953@4e92466a","1k","0.10231 msecs",
"decode","perf_test.core$fn__950$decode_jsonista_map__953@4e92466a","10k","0.384442 msecs",
"decode","perf_test.core$fn__950$decode_jsonista_map__953@4e92466a","100k","3.270093 msecs",
"decode","perf_test.core$fn__944$decode_jackson__947@66e8997c","10b","4.049006 msecs",
"decode","perf_test.core$fn__944$decode_jackson__947@66e8997c","100b","0.079806 msecs",
"decode","perf_test.core$fn__944$decode_jackson__947@66e8997c","1k","0.085827 msecs",
