"type","fn","arg","time",
"encode","perf_test.core$encode_data_json@6dfaadde","10b","0.14562 msecs",
"encode","perf_test.core$encode_data_json@6dfaadde","100b","0.59449 msecs",
"encode","perf_test.core$encode_data_json@6dfaadde","1k","0.339366 msecs",
"encode","perf_test.core$encode_data_json@6dfaadde","10k","0.926079 msecs",
"encode","perf_test.core$encode_data_json@6dfaadde","100k","6.410569 msecs",
"encode","perf_test.core$encode_cheshire@61be341f","10b","0.04191 msecs",
"encode","perf_test.core$encode_cheshire@61be341f","100b","0.010506 msecs",
"encode","perf_test.core$encode_cheshire@61be341f","1k","0.314463 msecs",
"encode","perf_test.core$encode_cheshire@61be341f","10k","0.246004 msecs",
"encode","perf_test.core$encode_cheshire@61be341f","100k","1.786385 msecs",
"encode","perf_test.core$encode_jsonista@7e943681","10b","0.556662 msecs",
"encode","perf_test.core$encode_jsonista@7e943681","100b","0.105946 msecs",
"encode","perf_test.core$encode_jsonista@7e943681","1k","0.060837 msecs",
"encode","perf_test.core$encode_jsonista@7e943681","10k","0.119115 msecs",
"encode","perf_test.core$encode_jsonista@7e943681","100k","1.031207 msecs",
"encode","perf_test.core$fn__950$encode_jsonista_map__951@71af2d9d","10b","0.041857 msecs",
"encode","perf_test.core$fn__950$encode_jsonista_map__951@71af2d9d","100b","0.023907 msecs",
"encode","perf_test.core$fn__950$encode_jsonista_map__951@71af2d9d","1k","0.026164 msecs",
"encode","perf_test.core$fn__950$encode_jsonista_map__951@71af2d9d","10k","0.088695 msecs",
"encode","perf_test.core$fn__950$encode_jsonista_map__951@71af2d9d","100k","1.050306 msecs",
"encode","perf_test.core$fn__944$encode_jackson__945@6d9c064a","10b","0.023429 msecs",
"encode","perf_test.core$fn__944$encode_jackson__945@6d9c064a","100b","0.021954 msecs",
"encode","perf_test.core$fn__944$encode_jackson__945@6d9c064a","1k","0.024356 msecs",
"encode","perf_test.core$fn__944$encode_jackson__945@6d9c064a","10k","0.084249 msecs",
"encode","perf_test.core$fn__944$encode_jackson__945@6d9c064a","100k","0.957916 msecs",
"encode","perf_test.core$fn__938$encode_jsonista_fastk__939@25ad12d2","10b","0.025104 msecs",
"encode","perf_test.core$fn__938$encode_jsonista_fastk__939@25ad12d2","100b","0.021939 msecs",
"encode","perf_test.core$fn__938$encode_jsonista_fastk__939@25ad12d2","1k","0.025888 msecs",
"encode","perf_test.core$fn__938$encode_jsonista_fastk__939@25ad12d2","10k","0.082268 msecs",
"encode","perf_test.core$fn__938$encode_jsonista_fastk__939@25ad12d2","100k","0.976617 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@3e061a0e","10b","0.028922 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@3e061a0e","100b","0.021875 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@3e061a0e","1k","0.024702 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@3e061a0e","10k","0.084342 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@3e061a0e","100k","1.001727 msecs",
"decode","perf_test.core$decode_data_json@1c16634e","10b","0.010477 msecs",
"decode","perf_test.core$decode_data_json@1c16634e","100b","0.010816 msecs",
"decode","perf_test.core$decode_data_json@1c16634e","1k","0.034583 msecs",
"decode","perf_test.core$decode_data_json@1c16634e","10k","0.356365 msecs",
"decode","perf_test.core$decode_data_json@1c16634e","100k","3.260498 msecs",
"decode","perf_test.core$decode_cheshire@4ea2fea4","10b","0.00786 msecs",
"decode","perf_test.core$decode_cheshire@4ea2fea4","100b","0.006743 msecs",
"decode","perf_test.core$decode_cheshire@4ea2fea4","1k","0.022896 msecs",
"decode","perf_test.core$decode_cheshire@4ea2fea4","10k","0.137094 msecs",
"decode","perf_test.core$decode_cheshire@4ea2fea4","100k","1.115305 msecs",
"decode","perf_test.core$decode_jsonista@2854e288","10b","0.111299 msecs",
"decode","perf_test.core$decode_jsonista@2854e288","100b","0.015365 msecs",
"decode","perf_test.core$decode_jsonista@2854e288","1k","0.057839 msecs",
