type,fn,arg,time native,time java
encode,encode_data_json,10b,0.14562 msecs,0.635538 msecs
encode,encode_data_json,100b,0.59449 msecs,1.499035 msecs
encode,encode_data_json,1k,0.339366 msecs,1.203868 msecs
encode,encode_data_json,10k,0.926079 msecs,3.964953 msecs
encode,encode_data_json,100k,6.410569 msecs,11.694029 msecs
encode,encode_cheshire,10b,0.04191 msecs,2.207266 msecs
encode,encode_cheshire,100b,0.010506 msecs,0.239347 msecs
encode,encode_cheshire,1k,0.314463 msecs,0.77214 msecs
encode,encode_cheshire,10k,0.246004 msecs,1.744983 msecs
encode,encode_cheshire,100k,1.786385 msecs,11.886282 msecs
encode,encode_jsonista,10b,0.556662 msecs,25.873411 msecs
encode,encode_jsonista,100b,0.105946 msecs,4.197547 msecs
encode,encode_jsonista,1k,0.060837 msecs,1.514368 msecs
encode,encode_jsonista,10k,0.119115 msecs,0.770578 msecs
encode,encode_jsonista,100k,1.031207 msecs,3.573715 msecs
encode,encode_jsonista_map,10b,0.041857 msecs,1.001606 msecs
encode,encode_jsonista_map,100b,0.023907 msecs,1.169623 msecs
encode,encode_jsonista_map,1k,0.026164 msecs,1.033761 msecs
encode,encode_jsonista_map,10k,0.088695 msecs,0.195359 msecs
encode,encode_jsonista_map,100k,1.050306 msecs,1.529719 msecs
encode,encode_jackson,10b,0.023429 msecs,0.777927 msecs
encode,encode_jackson,100b,0.021954 msecs,0.888085 msecs
encode,encode_jackson,1k,0.024356 msecs,0.797356 msecs
encode,encode_jackson,10k,0.084249 msecs,0.17138 msecs
encode,encode_jackson,100k,0.957916 msecs,1.283232 msecs
encode,encode_jsonista_fastk,10b,0.025104 msecs,0.800556 msecs
encode,encode_jsonista_fastk,100b,0.021939 msecs,0.859923 msecs
encode,encode_jsonista_fastk,1k,0.025888 msecs,0.813047 msecs
encode,encode_jsonista_fastk,10k,0.082268 msecs,0.152143 msecs
encode,encode_jsonista_fastk,100k,0.976617 msecs,1.06452 msecs
encode,encode_jsonista_fast,10b,0.028922 msecs,0.670901 msecs
encode,encode_jsonista_fast,100b,0.021875 msecs,0.787799 msecs
encode,encode_jsonista_fast,1k,0.024702 msecs,0.730582 msecs
encode,encode_jsonista_fast,10k,0.084342 msecs,0.142298 msecs
encode,encode_jsonista_fast,100k,1.001727 msecs,1.033249 msecs
decode,decode_data_json,10b,0.010477 msecs,1.118112 msecs
decode,decode_data_json,100b,0.010816 msecs,0.128058 msecs
decode,decode_data_json,1k,0.034583 msecs,0.346399 msecs
decode,decode_data_json,10k,0.356365 msecs,2.827505 msecs
decode,decode_data_json,100k,3.260498 msecs,10.35833 msecs
decode,decode_cheshire,10b,0.00786 msecs,0.095972 msecs
decode,decode_cheshire,100b,0.006743 msecs,0.120303 msecs
decode,decode_cheshire,1k,0.022896 msecs,0.073619 msecs
decode,decode_cheshire,10k,0.137094 msecs,0.54042 msecs
decode,decode_cheshire,100k,1.115305 msecs,4.495866 msecs
decode,decode_jsonista,10b,0.111299 msecs,5.129095 msecs
decode,decode_jsonista,100b,0.015365 msecs,0.1765 msecs
decode,decode_jsonista,1k,0.057839 msecs,0.181629 msecs
decode,decode_jsonista,10k,0.128187 msecs,0.635159 msecs
decode,decode_jsonista,100k,1.106498 msecs,4.026639 msecs
decode,decode_jsonista_map,10b,0.015324 msecs,0.285825 msecs
decode,decode_jsonista_map,100b,0.005424 msecs,0.084656 msecs
decode,decode_jsonista_map,1k,0.014936 msecs,0.10231 msecs
decode,decode_jsonista_map,10k,0.114992 msecs,0.384442 msecs
decode,decode_jsonista_map,100k,1.079076 msecs,3.270093 msecs
decode,decode_jackson,10b,0.088312 msecs,4.049006 msecs
decode,decode_jackson,100b,0.00428 msecs,0.079806 msecs
decode,decode_jackson,1k,0.013304 msecs,0.085827 msecs
decode,decode_jackson,10k,0.095246 msecs,0.68731 msecs
decode,decode_jackson,100k,0.867843 msecs,3.125463 msecs
decode,decode_jsonista_fastk,10b,0.01902 msecs,0.260264 msecs
decode,decode_jsonista_fastk,100b,0.012277 msecs,0.138593 msecs
decode,decode_jsonista_fastk,1k,0.033139 msecs,0.15838 msecs
decode,decode_jsonista_fastk,10k,0.138278 msecs,0.574798 msecs
decode,decode_jsonista_fastk,100k,1.313213 msecs,2.60976 msecs
decode,decode_jsonista_fast,10b,0.012783 msecs,0.288937 msecs
decode,decode_jsonista_fast,100b,0.004516 msecs,0.055597 msecs
decode,decode_jsonista_fast,1k,0.013802 msecs,0.055561 msecs
decode,decode_jsonista_fast,10k,0.092941 msecs,0.198233 msecs
decode,decode_jsonista_fast,100k,0.848665 msecs,1.374601 msecs
