"type","fn","arg","time",
"encode","perf_test.core$encode_data_json@5f303ecd","10b","0.658405 msecs",
"encode","perf_test.core$encode_data_json@5f303ecd","100b","1.618859 msecs",
"encode","perf_test.core$encode_data_json@5f303ecd","1k","1.161617 msecs",
"encode","perf_test.core$encode_data_json@5f303ecd","10k","3.643047 msecs",
"encode","perf_test.core$encode_data_json@5f303ecd","100k","9.858269 msecs",
"encode","perf_test.core$encode_cheshire@298d9a05","10b","2.006855 msecs",
"encode","perf_test.core$encode_cheshire@298d9a05","100b","0.292325 msecs",
"encode","perf_test.core$encode_cheshire@298d9a05","1k","1.003891 msecs",
"encode","perf_test.core$encode_cheshire@298d9a05","10k","1.865323 msecs",
"encode","perf_test.core$encode_cheshire@298d9a05","100k","9.807533 msecs",
"encode","perf_test.core$encode_jsonista@7e7f0f0a","10b","26.634676 msecs",
"encode","perf_test.core$encode_jsonista@7e7f0f0a","100b","3.976646 msecs",
"encode","perf_test.core$encode_jsonista@7e7f0f0a","1k","1.358673 msecs",
"encode","perf_test.core$encode_jsonista@7e7f0f0a","10k","0.696348 msecs",
"encode","perf_test.core$encode_jsonista@7e7f0f0a","100k","3.633982 msecs",
"encode","perf_test.core$fn__944$encode_jsonista_map__945@1a3e5f23","10b","1.02436 msecs",
"encode","perf_test.core$fn__944$encode_jsonista_map__945@1a3e5f23","100b","1.013782 msecs",
"encode","perf_test.core$fn__944$encode_jsonista_map__945@1a3e5f23","1k","0.915749 msecs",
"encode","perf_test.core$fn__944$encode_jsonista_map__945@1a3e5f23","10k","0.19006 msecs",
"encode","perf_test.core$fn__944$encode_jsonista_map__945@1a3e5f23","100k","1.367758 msecs",
"encode","perf_test.core$fn__938$encode_jackson__939@6293e39e","10b","0.765554 msecs",
"encode","perf_test.core$fn__938$encode_jackson__939@6293e39e","100b","0.851554 msecs",
"encode","perf_test.core$fn__938$encode_jackson__939@6293e39e","1k","0.814927 msecs",
"encode","perf_test.core$fn__938$encode_jackson__939@6293e39e","10k","0.161288 msecs",
"encode","perf_test.core$fn__938$encode_jackson__939@6293e39e","100k","1.443212 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@365553de","10b","0.72914 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@365553de","100b","0.863906 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@365553de","1k","0.748811 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@365553de","10k","0.159292 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@365553de","100k","1.2149 msecs",
"decode","perf_test.core$decode_data_json@34a0ef00","10b","0.786495 msecs",
"decode","perf_test.core$decode_data_json@34a0ef00","100b","0.122151 msecs",
"decode","perf_test.core$decode_data_json@34a0ef00","1k","0.316374 msecs",
"decode","perf_test.core$decode_data_json@34a0ef00","10k","2.655942 msecs",
"decode","perf_test.core$decode_data_json@34a0ef00","100k","10.635573 msecs",
"decode","perf_test.core$decode_cheshire@ec1b2e4","10b","0.087681 msecs",
"decode","perf_test.core$decode_cheshire@ec1b2e4","100b","0.126608 msecs",
"decode","perf_test.core$decode_cheshire@ec1b2e4","1k","0.057847 msecs",
"decode","perf_test.core$decode_cheshire@ec1b2e4","10k","0.402211 msecs",
"decode","perf_test.core$decode_cheshire@ec1b2e4","100k","2.984181 msecs",
"decode","perf_test.core$decode_jsonista@29a69a35","10b","5.29004 msecs",
"decode","perf_test.core$decode_jsonista@29a69a35","100b","0.144853 msecs",
"decode","perf_test.core$decode_jsonista@29a69a35","1k","0.151557 msecs",
"decode","perf_test.core$decode_jsonista@29a69a35","10k","0.394833 msecs",
"decode","perf_test.core$decode_jsonista@29a69a35","100k","2.475035 msecs",
"decode","perf_test.core$fn__944$decode_jsonista_map__947@42b21d99","10b","0.291094 msecs",
"decode","perf_test.core$fn__944$decode_jsonista_map__947@42b21d99","100b","0.080502 msecs",
"decode","perf_test.core$fn__944$decode_jsonista_map__947@42b21d99","1k","0.074066 msecs",
"decode","perf_test.core$fn__944$decode_jsonista_map__947@42b21d99","10k","0.217618 msecs",
"decode","perf_test.core$fn__944$decode_jsonista_map__947@42b21d99","100k","2.045359 msecs",
"decode","perf_test.core$fn__938$decode_jackson__941@68dcfd52","10b","3.778275 msecs",
"decode","perf_test.core$fn__938$decode_jackson__941@68dcfd52","100b","0.077538 msecs",
"decode","perf_test.core$fn__938$decode_jackson__941@68dcfd52","1k","0.082075 msecs",
"decode","perf_test.core$fn__938$decode_jackson__941@68dcfd52","10k","0.654661 msecs",
"decode","perf_test.core$fn__938$decode_jackson__941@68dcfd52","100k","2.135 msecs",
"decode","perf_test.core$fn__932$decode_jsonista_fast__935@1549bba7","10b","0.274172 msecs",
"decode","perf_test.core$fn__932$decode_jsonista_fast__935@1549bba7","100b","0.052823 msecs",
"decode","perf_test.core$fn__932$decode_jsonista_fast__935@1549bba7","1k","0.06142 msecs",
"decode","perf_test.core$fn__932$decode_jsonista_fast__935@1549bba7","10k","0.372686 msecs",
"decode","perf_test.core$fn__932$decode_jsonista_fast__935@1549bba7","100k","1.5312 msecs",
