"type","fn","arg","time",
"encode","perf_test.core$encode_data_json@2b4cd71f","10b","0.155913 msecs",
"encode","perf_test.core$encode_data_json@2b4cd71f","100b","0.597991 msecs",
"encode","perf_test.core$encode_data_json@2b4cd71f","1k","0.303221 msecs",
"encode","perf_test.core$encode_data_json@2b4cd71f","10k","0.8914 msecs",
"encode","perf_test.core$encode_data_json@2b4cd71f","100k","6.748117 msecs",
"encode","perf_test.core$encode_cheshire@6000af4c","10b","0.06456 msecs",
"encode","perf_test.core$encode_cheshire@6000af4c","100b","0.013502 msecs",
"encode","perf_test.core$encode_cheshire@6000af4c","1k","0.349208 msecs",
"encode","perf_test.core$encode_cheshire@6000af4c","10k","0.302906 msecs",
"encode","perf_test.core$encode_cheshire@6000af4c","100k","2.177159 msecs",
"encode","perf_test.core$encode_jsonista@38a97a62","10b","0.671868 msecs",
"encode","perf_test.core$encode_jsonista@38a97a62","100b","0.13171 msecs",
"encode","perf_test.core$encode_jsonista@38a97a62","1k","0.067301 msecs",
"encode","perf_test.core$encode_jsonista@38a97a62","10k","0.12698 msecs",
"encode","perf_test.core$encode_jsonista@38a97a62","100k","1.297365 msecs",
"encode","perf_test.core$fn__944$encode_jsonista_map__945@699e4497","10b","0.037842 msecs",
"encode","perf_test.core$fn__944$encode_jsonista_map__945@699e4497","100b","0.027591 msecs",
"encode","perf_test.core$fn__944$encode_jsonista_map__945@699e4497","1k","0.026127 msecs",
"encode","perf_test.core$fn__944$encode_jsonista_map__945@699e4497","10k","0.089473 msecs",
"encode","perf_test.core$fn__944$encode_jsonista_map__945@699e4497","100k","1.241628 msecs",
"encode","perf_test.core$fn__938$encode_jackson__939@7eef241a","10b","0.039275 msecs",
"encode","perf_test.core$fn__938$encode_jackson__939@7eef241a","100b","0.029691 msecs",
"encode","perf_test.core$fn__938$encode_jackson__939@7eef241a","1k","0.024965 msecs",
"encode","perf_test.core$fn__938$encode_jackson__939@7eef241a","10k","0.099724 msecs",
"encode","perf_test.core$fn__938$encode_jackson__939@7eef241a","100k","1.048108 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@401305f","10b","0.029439 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@401305f","100b","0.02569 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@401305f","1k","0.027134 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@401305f","10k","0.100307 msecs",
"encode","perf_test.core$fn__932$encode_jsonista_fast__933@401305f","100k","1.049531 msecs",
"decode","perf_test.core$decode_data_json@5113a3bb","10b","0.009824 msecs",
"decode","perf_test.core$decode_data_json@5113a3bb","100b","0.011619 msecs",
"decode","perf_test.core$decode_data_json@5113a3bb","1k","0.041734 msecs",
"decode","perf_test.core$decode_data_json@5113a3bb","10k","0.40761 msecs",
"decode","perf_test.core$decode_data_json@5113a3bb","100k","3.527123 msecs",
"decode","perf_test.core$decode_cheshire@4378520c","10b","0.039424 msecs",
"decode","perf_test.core$decode_cheshire@4378520c","100b","0.014131 msecs",
"decode","perf_test.core$decode_cheshire@4378520c","1k","0.020452 msecs",
"decode","perf_test.core$decode_cheshire@4378520c","10k","0.177855 msecs",
"decode","perf_test.core$decode_cheshire@4378520c","100k","1.382549 msecs",
"decode","perf_test.core$decode_jsonista@3fb121b2","10b","0.240182 msecs",
"decode","perf_test.core$decode_jsonista@3fb121b2","100b","0.017035 msecs",
"decode","perf_test.core$decode_jsonista@3fb121b2","1k","0.141341 msecs",
"decode","perf_test.core$decode_jsonista@3fb121b2","10k","0.191817 msecs",
"decode","perf_test.core$decode_jsonista@3fb121b2","100k","1.439504 msecs",
"decode","perf_test.core$fn__944$decode_jsonista_map__947@445fe051","10b","0.03407 msecs",
"decode","perf_test.core$fn__944$decode_jsonista_map__947@445fe051","100b","0.007927 msecs",
"decode","perf_test.core$fn__944$decode_jsonista_map__947@445fe051","1k","0.017348 msecs",
"decode","perf_test.core$fn__944$decode_jsonista_map__947@445fe051","10k","0.12418 msecs",
"decode","perf_test.core$fn__944$decode_jsonista_map__947@445fe051","100k","1.26488 msecs",
"decode","perf_test.core$fn__938$decode_jackson__941@67e3c6b1","10b","0.171762 msecs",
"decode","perf_test.core$fn__938$decode_jackson__941@67e3c6b1","100b","0.008278 msecs",
"decode","perf_test.core$fn__938$decode_jackson__941@67e3c6b1","1k","0.017419 msecs",
"decode","perf_test.core$fn__938$decode_jackson__941@67e3c6b1","10k","0.12682 msecs",
"decode","perf_test.core$fn__938$decode_jackson__941@67e3c6b1","100k","1.135012 msecs",
"decode","perf_test.core$fn__932$decode_jsonista_fast__935@48cd8976","10b","0.014273 msecs",
"decode","perf_test.core$fn__932$decode_jsonista_fast__935@48cd8976","100b","0.004801 msecs",
"decode","perf_test.core$fn__932$decode_jsonista_fast__935@48cd8976","1k","0.011631 msecs",
"decode","perf_test.core$fn__932$decode_jsonista_fast__935@48cd8976","10k","0.094465 msecs",
"decode","perf_test.core$fn__932$decode_jsonista_fast__935@48cd8976","100k","0.864474 msecs",
